"Nom de la demande:Mons_2010_2011";;;;;;;;
"Pas de temps:Journalier";;;;;;;;
"Date de début:01/01/2010";;;;;;;;
"Date de fin:31/12/2011";;;;;;;;
"Station(s):51242002";;;;;;;;
;;;;;;;;
"ETPP:EVAPOTRANSPIRATION PENMAN (MM/DAY)";;;;;;;;
"RG: GLOBAL RADIATION (MEGAJOULES/M2)";;;;;;;;
"RR:RAINFALL (MM)";;;;;;;;
"TN:MINIMAL TEMPERATURE (°C)";;;;;;;;
"TX:MAXIMAL TEMPERATURE (°C)";;;;;;;;
;;;;;;;;
;;;;;;;;
"NUM_POSTE";"AN";"MOIS";"JOUR";"ETPP";"RG";"RR";"TN";"TX"
51242002;2010;8;6;4;22.8;0.5;8.5;24
51242002;2010;8;7;3.7;14.07;1.5;14.9;25.7
51242002;2010;8;8;2.8;12.82;0;12.8;22.4
51242002;2010;8;9;3.3;17.69;0;9.1;25
51242002;2010;8;10;3.2;13.66;11.5;11.2;25.4
51242002;2010;8;11;4;16.39;1;16.5;23.8
51242002;2010;8;12;3.7;19.8;0;10.5;22.7
51242002;2010;8;13;3.1;16.79;1;11.1;21
51242002;2010;8;14;3;17.34;0.5;7.9;22.5
51242002;2010;8;15;0.9;3.24;38.5;14.4;16.8
51242002;2010;8;16;0.7;3.3;13.5;13.2;15.7
51242002;2010;8;17;1.1;5.71;10;12.2;17.1
51242002;2010;8;18;4;18.15;0;14.7;21.1
51242002;2010;8;19;3.7;19.89;0.5;10.7;22.4
51242002;2010;8;20;4.8;22.56;0;12.9;28.9
51242002;2010;8;21;4.6;22.76;0;14;29.3
51242002;2010;8;22;2.8;13.2;5;16.6;27.3
51242002;2010;8;23;4.3;14.24;1;18.9;23.6
51242002;2010;8;24;4.5;20;0;11.4;22.3
51242002;2010;8;25;3.2;15.6;0;11;21.3
51242002;2010;8;26;2.3;6.06;14.5;19.2;23.7
51242002;2010;8;27;2.2;8.1;4.5;15.5;21.1
51242002;2010;8;28;3.3;20.84;0;9.8;19.6
51242002;2010;8;29;2;7.92;2;10.3;16.7
51242002;2010;8;30;3.5;18.19;0;9.6;18.8
51242002;2010;8;31;2.7;18.12;0.5;7.5;20
51242002;2010;9;1;3.1;19.28;0;8.1;20.5
51242002;2010;9;2;3.4;18.81;0;9.8;21.1
51242002;2010;9;3;3.3;20.67;0;10;21.3
51242002;2010;9;4;3.1;17.92;0;10;21.5
51242002;2010;9;5;3.6;19.08;0;10.5;22.4
51242002;2010;9;6;2.5;8.52;4;10.6;19.3
51242002;2010;9;7;2.7;16.45;6.5;13.2;21
51242002;2010;9;8;1.5;7.14;17.5;14.4;18.1
51242002;2010;9;9;1.7;9.9;7.5;11.1;19.2
51242002;2010;9;10;2;12.01;0;10.3;20.6
51242002;2010;9;11;3;18.2;0;11.4;23.9
51242002;2010;9;12;2.2;10.53;2.5;14.4;20.3
51242002;2010;9;13;2.2;14.63;0;9.1;20.2
51242002;2010;9;14;3.1;11.52;2;14.4;21.7
51242002;2010;9;15;3.1;15.03;0.5;11.7;18.3
51242002;2010;9;16;2.1;8.36;3;11.2;18.2
51242002;2010;9;17;1.9;14.17;0.5;6.1;16.7
51242002;2010;9;18;1.9;15.93;0;4.3;17
51242002;2010;9;19;2;14.33;0;4.7;18.9
51242002;2010;9;20;2.4;16.6;0;6.6;21.2
51242002;2010;9;21;2.3;17.13;0;7.8;22.5
51242002;2010;9;22;2.6;17.14;0;9.2;24.4
51242002;2010;9;23;1.9;8.07;2.5;11.9;22.6
51242002;2010;9;24;1.7;9.17;0.5;12.4;18
51242002;2010;9;25;2.3;10.8;0.5;9.6;14.2
51242002;2010;9;26;1.4;6.12;7;9.1;13.8
51242002;2010;9;27;0.8;6.85;0;5.8;13
51242002;2010;9;28;0.3;2.36;2.5;10.4;15.3
51242002;2010;9;29;1.2;6.94;2.5;12.8;17.7
51242002;2010;9;30;1.6;9.46;0.5;12.5;17.1
51242002;2010;10;1;1.3;9.96;12.5;7.8;16.8
51242002;2010;10;2;0.7;3.53;1;13;18.6
51242002;2010;10;3;2.1;10.63;1.5;13.2;22.6
51242002;2010;10;4;1.8;7.14;0.5;15.2;21.1
51242002;2010;10;5;0.7;5.21;2;12;16.8
51242002;2010;10;6;0.9;3.13;0.5;14.6;16.7
51242002;2010;10;7;1.6;8.67;0;13.2;21.9
51242002;2010;10;8;1.5;7.69;0;12.6;20.2
51242002;2010;10;9;1.8;11.66;0;12.4;21.2
51242002;2010;10;10;2.6;13.66;0;10.5;20.5
51242002;2010;10;11;2.3;13.38;0;7;17.9
51242002;2010;10;12;1.6;12.87;0;5.2;15.2
51242002;2010;10;13;1.4;12.33;0.5;5.1;13.2
51242002;2010;10;14;0.9;10.51;0;3.7;14.4
51242002;2010;10;15;0.8;5.84;2.5;9.6;13.8
51242002;2010;10;16;1.4;10.74;0;7.3;13.6
51242002;2010;10;17;0.8;5.55;0;2.8;8.5
51242002;2010;10;18;0.6;10.37;1;-1;12.9
51242002;2010;10;19;1.2;8.77;2.5;8.3;13.2
51242002;2010;10;20;1;8.77;0;4.8;9.9
51242002;2010;10;21;0.7;11.58;0;-2.7;10.7
51242002;2010;10;22;1;6.76;0;0.2;11.9
51242002;2010;10;23;0.4;2.32;2;0.3;9.4
51242002;2010;10;24;0.5;9.32;1.5;2.3;11.4
51242002;2010;10;25;0.5;9.59;0;1;10.8
51242002;2010;10;26;0.5;6.92;0.5;-2;10.4
51242002;2010;10;27;1.4;5.17;0.5;6.6;14.1
51242002;2010;10;28;0.9;7.03;0;7.2;14.4
51242002;2010;10;29;1.4;5.76;1;7.1;15.2
51242002;2010;10;30;1;5.8;3;9.9;14.6
51242002;2010;10;31;0.6;5.72;0;8;15.1
51242002;2010;11;1;0.4;4.75;0;6.9;13.3
51242002;2010;11;2;0.1;2.89;0.5;4.7;12.4
51242002;2010;11;3;0.6;3.48;0;10.5;15.3
51242002;2010;11;4;1.4;2.93;0;13.4;16.9
51242002;2010;11;5;1.3;2.75;0;11;16.1
51242002;2010;11;6;0.5;2.23;2.5;9.2;12.6
51242002;2010;11;7;0.3;3.89;0;5;9.2
51242002;2010;11;8;0.3;1.89;8.5;2.1;6.9
51242002;2010;11;9;0;1.68;12.5;4.5;9.3
51242002;2010;11;10;0.6;4.33;2;5.1;8.7
51242002;2010;11;11;0.9;0.92;9;1.1;14
51242002;2010;11;12;1.1;1.78;2.5;9;14.3
51242002;2010;11;13;0.1;0.9;43.5;11.6;14
51242002;2010;11;14;0.9;1.41;2;11.2;13.3
51242002;2010;11;15;0.1;5.41;0;4.3;12.6
51242002;2010;11;16;0;3.09;0;-0.2;5.4
51242002;2010;11;17;0.2;2.08;0;0.7;5.1
51242002;2010;11;18;0.1;1.18;0.5;4;7
51242002;2010;11;19;0.2;1.66;0;6.1;7.2
51242002;2010;11;20;0.2;5.34;0;5.8;10
51242002;2010;11;21;0.1;1.43;0;2.1;4.3
51242002;2010;11;22;0.3;1.03;0;3.7;4.4
51242002;2010;11;23;0.1;3;0;-0.1;6.8
51242002;2010;11;24;0;4.82;0;0.8;7
51242002;2010;11;25;0.2;2.6;0;-1.2;3.9
51242002;2010;11;26;0.1;3.93;0;0.1;4
51242002;2010;11;27;0.2;2.06;0;-1.2;1.1
51242002;2010;11;28;0.2;2.2;0;-2.5;0.3
51242002;2010;11;29;0.2;1.16;0;-2.7;-1.7
51242002;2010;11;30;0.4;1.07;0;-2.5;-0.3
51242002;2010;12;1;0.4;2.11;0;-4.9;-2.9
51242002;2010;12;2;0.1;1.64;0;-4.9;-2
51242002;2010;12;3;0;2.38;0;-7.8;-3.6
51242002;2010;12;4;0;1.44;5;-8.8;2.4
51242002;2010;12;5;0.1;0.8;11;0.2;2.1
51242002;2010;12;6;0;2.47;0;-2;0.3
51242002;2010;12;7;0.1;1.66;0.5;-2;-0.7
51242002;2010;12;8;0.2;0.94;0;-1.5;1.4
51242002;2010;12;9;0;5.79;0;-2.7;3.4
51242002;2010;12;10;0.1;1.36;0;-1.7;5.6
51242002;2010;12;11;0;1.03;0;2.8;5.7
